Confirmation Number,Services Offered,Target Entity,Interest Areas,Investors,Hiring Requirement,GeoLocation,Job Function,Investment Range,Investment Requirement,Services Required,Companies Raising Money,GeoLocation 
107076259,,,,,"Supply Chain, Operations & Fulfillment,Research, Content & Journalism,Other,Marketing, Advertising & Communications,Logistics & Transportation (inc. Last-Mile),Merchandising,Executive Leadership & Board of Directors,Finance & Accounting,Strategy, Innovation & Transformation,Sales, BD & Account Management,Environmental, Social & Corporate Governance (ESG),Consulting & Advisory,HR, Talent Acquisition & Workforce Management,Legal, Compliance & Risk,Digital & Ecommerce,Partnerships,Customer Experience,Technology & IT,Procurement & Vendor Management,Data, Analytics & Insights,Store Operations","North America,Africa,India,Middle East","Other,Merchandising",,More than $10 million,"Event/Experiential Services,Augmented Reality & Virtual Reality,Multichannel Marketing Platforms,Crypto Payments Solutions,Market Research & Analysis Services",True,"North America,Africa,India,Middle East"
102671127,,"Established Retailer or Brand,Investor (VC, PE or Other),Higher Education",,True,,"Asia - Other,China,UK & Ireland,Nordics,India,Other Europe,Middle East,Africa,Australia & New Zealand","Data, Analytics & Insights,Customer Experience,Procurement & Vendor Management","$1 million+ to $5 million
More than $10 million
$5 million+ to 10 million
$1 million or less",,,,"Asia - Other,China,UK & Ireland,Nordics,India,Other Europe,Middle East,Africa,Australia & New Zealand"
103470157,,,,,"Research, Content & Journalism,Customer Experience,Logistics & Transportation (inc. Last-Mile),Investing,Strategy, Innovation & Transformation,Supply Chain, Operations & Fulfillment,Other,Marketing, Advertising & Communications,Sales, BD & Account Management","France & Benelux,China,Africa,Nordics",Technology & IT,,,,False,"France & Benelux,China,Africa,Nordics"
100663726,"Financing Solutions,Crypto Payments Solutions,Data Warehousing",,,,,"Africa,Central & South America,India,Australia & New Zealand,Nordics,China,Middle East,Asia - Other,Other Europe,France & Benelux,Germany, Austria & Switzerland","Strategy, Innovation & Transformation,Supply Chain, Operations & Fulfillment,Investing",,More than $10 million,"Customer Feedback Solutions,Retargeting Solutions,Sustainability Solutions,Content Management Systems",True,"Africa,Central & South America,India,Australia & New Zealand,Nordics,China,Middle East,Asia - Other,Other Europe,France & Benelux,Germany, Austria & Switzerland"
109243522,,"Industry Association or Nonprofit,Investor (VC, PE or Other),Startup Retailer or Brand,Marketplace or Marketplace Solution",,,,"Southern Europe,Other Europe,Nordics,India,Middle East","Environmental, Social & Corporate Governance (ESG),Digital & Ecommerce",,,,,"Southern Europe,Other Europe,Nordics,India,Middle East"
101374492,,"Media or Sell Side Analyst,Marketplace or Marketplace Solution,Higher Education,Marketing & Digital Agency,Government,Real Estate,Investor (VC, PE or Other),Startup Solution Provider or Technology Company,Professional Services Firm",,,"Finance & Accounting,Supply Chain, Operations & Fulfillment,Strategy, Innovation & Transformation,Investing,Procurement & Vendor Management,Consulting & Advisory,Other,Marketing, Advertising & Communications,Technology & IT,Research, Content & Journalism","Southern Europe,China,Germany, Austria & Switzerland,Middle East","Product Development & Management,Legal, Compliance & Risk",,,BNPL & Customer Installment Lending Solutions,,"Southern Europe,China,Germany, Austria & Switzerland,Middle East"
106762542,,,,,"Investing,Executive Leadership & Board of Directors,Technology & IT,HR, Talent Acquisition & Workforce Management,Sales, BD & Account Management,Other,Procurement & Vendor Management,Digital & Ecommerce,Product Development & Management,Legal, Compliance & Risk,Customer Experience,Partnerships,Environmental, Social & Corporate Governance (ESG),Research, Content & Journalism,Store Operations,Strategy, Innovation & Transformation","Africa,Central & South America,France & Benelux,North America,Other Europe,Middle East,Nordics,Australia & New Zealand,China,Asia - Other,India,Eastern Europe,Southern Europe,Germany, Austria & Switzerland,UK & Ireland",Finance & Accounting,,More than $10 million,,True,"Africa,Central & South America,France & Benelux,North America,Other Europe,Middle East,Nordics,Australia & New Zealand,China,Asia - Other,India,Eastern Europe,Southern Europe,Germany, Austria & Switzerland,UK & Ireland"
107215851,,"Higher Education,Media or Sell Side Analyst,Government,Real Estate,Investor (VC, PE or Other),Industry Association or Nonprofit,Large Solution Provider or Technology Company,Marketing & Digital Agency,Professional Services Firm",,,,"France & Benelux,India,Asia - Other,Central & South America,Southern Europe,North America,Middle East,China,Africa,Eastern Europe,UK & Ireland,Germany, Austria & Switzerland,Australia & New Zealand,Other Europe","Other,Strategy, Innovation & Transformation",,,,False,"France & Benelux,India,Asia - Other,Central & South America,Southern Europe,North America,Middle East,China,Africa,Eastern Europe,UK & Ireland,Germany, Austria & Switzerland,Australia & New Zealand,Other Europe"
109849299,,"Media or Sell Side Analyst,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Established Retailer or Brand,Marketplace or Marketplace Solution,Marketing & Digital Agency,Investor (VC, PE or Other),Startup Retailer or Brand,Higher Education",,,,"Nordics,Australia & New Zealand,Germany, Austria & Switzerland,India,Southern Europe,China,Eastern Europe,Central & South America,Middle East,North America,Other Europe,UK & Ireland,Asia - Other","Investing,Store Operations",,More than $10 million,,True,"Nordics,Australia & New Zealand,Germany, Austria & Switzerland,India,Southern Europe,China,Eastern Europe,Central & South America,Middle East,North America,Other Europe,UK & Ireland,Asia - Other"
106569522,"BNPL & Customer Installment Lending Solutions,Live Chat, Chatbots & Virtual Assistants Solutions,Influencer Marketing Solutions,Workforce Training Solutions,Marketing Personalization Solutions,Packaging Solutions,Search Engine Marketing (SEM),Financial, Accounting & ERP Solutions & Integration Services","Marketing & Digital Agency,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Investor (VC, PE or Other),Media or Sell Side Analyst,Professional Services Firm,Startup Retailer or Brand,Real Estate,Marketplace or Marketplace Solution,Higher Education,Government,Established Retailer or Brand",,,,"Central & South America,Germany, Austria & Switzerland","Executive Leadership & Board of Directors,HR, Talent Acquisition & Workforce Management",,,"Shopper Marketing Solutions,Translation & Localization Services,POS Solutions,Location Based Marketing Solutions,Multichannel Marketing Platforms,Consumer Sentiment & Reviews,Data Management Platforms,Marketing Personalization Solutions,Video Web Operations,B2B Ecommerce Platforms",,"Central & South America,Germany, Austria & Switzerland"
103151538,,"Industry Association or Nonprofit,Media or Sell Side Analyst,Established Retailer or Brand,Higher Education,Investor (VC, PE or Other),Professional Services Firm,Marketplace or Marketplace Solution,Startup Retailer or Brand,Government,Real Estate,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Marketing & Digital Agency",,,"Environmental, Social & Corporate Governance (ESG),Partnerships,Merchandising","China,Germany, Austria & Switzerland,Nordics,North America,Southern Europe,Australia & New Zealand,Middle East",Executive Leadership & Board of Directors,,,"Consumer Sentiment & Reviews,Merchandising Analytics,Content Production Services & Solutions,Mobile Commerce Platforms,Cloud Hosting Services",,"China,Germany, Austria & Switzerland,Nordics,North America,Southern Europe,Australia & New Zealand,Middle East"
102708660,,"Marketplace or Marketplace Solution,Higher Education,Startup Solution Provider or Technology Company,Government,Large Solution Provider or Technology Company,Marketing & Digital Agency,Professional Services Firm,Investor (VC, PE or Other),Real Estate,Startup Retailer or Brand,Industry Association or Nonprofit",,,"Supply Chain, Operations & Fulfillment,Executive Leadership & Board of Directors,Digital & Ecommerce,Technology & IT,Merchandising,Marketing, Advertising & Communications,Other,Data, Analytics & Insights","Central & South America,Africa,Germany, Austria & Switzerland,Middle East,Nordics,India,North America,Asia - Other,France & Benelux,Australia & New Zealand,China,Other Europe",Store Operations,,More than $10 million,,True,"Central & South America,Africa,Germany, Austria & Switzerland,Middle East,Nordics,India,North America,Asia - Other,France & Benelux,Australia & New Zealand,China,Other Europe"
105890079,,,,,"Data, Analytics & Insights,Customer Experience,Research, Content & Journalism,Other,Merchandising,Store Operations,Strategy, Innovation & Transformation,Supply Chain, Operations & Fulfillment,Procurement & Vendor Management,Digital & Ecommerce,Logistics & Transportation (inc. Last-Mile),Legal, Compliance & Risk,Investing,Executive Leadership & Board of Directors","UK & Ireland,Central & South America,India,China,Asia - Other,Australia & New Zealand,Southern Europe,Africa",Merchandising,,$1 million or less,,True,"UK & Ireland,Central & South America,India,China,Asia - Other,Australia & New Zealand,Southern Europe,Africa"
103584888,"Workforce Training Solutions,Marketing Campaign Management,Live Chat, Chatbots & Virtual Assistants Solutions,Content Management Systems,Predictive Analytics,Robotics & Automation,Price Optimization Solutions",,,,"Strategy, Innovation & Transformation,Digital & Ecommerce,Sales, BD & Account Management,Other,Consulting & Advisory","India,UK & Ireland",Executive Leadership & Board of Directors,,$5 million+ to 10 million,"Data Architecture & Infrastructure Solutions,Mobile Commerce Platforms,Affiliate Marketing Solutions",True,"India,UK & Ireland"
101832907,,"Real Estate,Marketplace or Marketplace Solution,Investor (VC, PE or Other),Government,Professional Services Firm",,,"Logistics & Transportation (inc. Last-Mile),Legal, Compliance & Risk,Technology & IT,Digital & Ecommerce,Other,Partnerships,Strategy, Innovation & Transformation,Investing,Store Operations,Data, Analytics & Insights,Sales, BD & Account Management,Procurement & Vendor Management,Customer Experience","Australia & New Zealand,Other Europe,Nordics,Asia - Other,Middle East,UK & Ireland,Central & South America","Product Development & Management,Merchandising",,,,False,"Australia & New Zealand,Other Europe,Nordics,Asia - Other,Middle East,UK & Ireland,Central & South America"
105027444,,Established Retailer or Brand,,True,"Strategy, Innovation & Transformation,Data, Analytics & Insights","Germany, Austria & Switzerland,Africa,Eastern Europe,Middle East,Asia - Other,Other Europe,Central & South America,China",Product Development & Management,$5 million+ to 10 million,,,,"Germany, Austria & Switzerland,Africa,Eastern Europe,Middle East,Asia - Other,Other Europe,Central & South America,China"
103408466,,,,,,"Asia - Other,Germany, Austria & Switzerland,Africa,France & Benelux,Middle East,Central & South America,China,Eastern Europe,India,Other Europe","Consulting & Advisory,Marketing, Advertising & Communications,Customer Experience",,,"Mobile Commerce Platforms,Interactive In-Store Technologies (inc. Music & Entertainment)",False,"Asia - Other,Germany, Austria & Switzerland,Africa,France & Benelux,Middle East,Central & South America,China,Eastern Europe,India,Other Europe"
105931279,,"Professional Services Firm,Real Estate,Marketplace or Marketplace Solution,Media or Sell Side Analyst,Higher Education,Marketing & Digital Agency,Startup Retailer or Brand,Industry Association or Nonprofit,Government,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Established Retailer or Brand,Investor (VC, PE or Other)",,,"Merchandising,Executive Leadership & Board of Directors,Legal, Compliance & Risk","Asia - Other,Central & South America,Southern Europe,Eastern Europe,North America,Africa",Logistics & Transportation (inc. Last-Mile),,,,False,"Asia - Other,Central & South America,Southern Europe,Eastern Europe,North America,Africa"
107958976,,,,,,"Middle East,North America,UK & Ireland,Southern Europe,Australia & New Zealand,Other Europe,Nordics,Central & South America,Germany, Austria & Switzerland,Eastern Europe,India","Strategy, Innovation & Transformation,Supply Chain, Operations & Fulfillment",,,"Warehouse Management System,Robotics & Automation,Shelf Monitoring Systems,Metaverse Platforms & Solutions,Site Personalization Solutions,Product Information Management (PIM) Solutions,In-Store Media Solutions,Delivery (inc. Last Mile) & Pickup Solutions,Payroll & Earned Wage Access Solutions",False,"Middle East,North America,UK & Ireland,Southern Europe,Australia & New Zealand,Other Europe,Nordics,Central & South America,Germany, Austria & Switzerland,Eastern Europe,India"
100403138,"Social Media Marketing Solutions,Content Marketing Solutions,Mobile, App & SMS Marketing Solutions,Marketing Campaign Management,Reconciliation & Reporting Solutions,Live Chat, Chatbots & Virtual Assistants Solutions",,,,"Product Development & Management,Logistics & Transportation (inc. Last-Mile)","Other Europe,Southern Europe","Consulting & Advisory,HR, Talent Acquisition & Workforce Management,Legal, Compliance & Risk",,,"Mobile POS Solutions,Interactive In-Store Technologies (inc. Music & Entertainment)",,"Other Europe,Southern Europe"
102991667,"Influencer Marketing Solutions,Branding Services","Established Retailer or Brand,Marketing & Digital Agency,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Investor (VC, PE or Other),Real Estate,Media or Sell Side Analyst,Professional Services Firm,Government,Industry Association or Nonprofit,Marketplace or Marketplace Solution",,,,"Australia & New Zealand,Central & South America,China,Asia - Other,India,France & Benelux,Other Europe,North America,Eastern Europe,Germany, Austria & Switzerland,Southern Europe,Middle East,UK & Ireland,Africa","HR, Talent Acquisition & Workforce Management,Merchandising,Technology & IT",,,,,"Australia & New Zealand,Central & South America,China,Asia - Other,India,France & Benelux,Other Europe,North America,Eastern Europe,Germany, Austria & Switzerland,Southern Europe,Middle East,UK & Ireland,Africa"
107380710,,"Higher Education,Government,Large Solution Provider or Technology Company,Investor (VC, PE or Other),Media or Sell Side Analyst,Established Retailer or Brand,Startup Retailer or Brand,Startup Solution Provider or Technology Company",,,"Finance & Accounting,Technology & IT,Data, Analytics & Insights,Marketing, Advertising & Communications,Environmental, Social & Corporate Governance (ESG),Customer Experience,HR, Talent Acquisition & Workforce Management,Product Development & Management,Consulting & Advisory","Central & South America,Africa,Southern Europe,India,Australia & New Zealand,Nordics,France & Benelux,North America,Other Europe,Germany, Austria & Switzerland,UK & Ireland,Asia - Other,Middle East,Eastern Europe","HR, Talent Acquisition & Workforce Management,Marketing, Advertising & Communications,Strategy, Innovation & Transformation",,,Product Imagery Solutions,False,"Central & South America,Africa,Southern Europe,India,Australia & New Zealand,Nordics,France & Benelux,North America,Other Europe,Germany, Austria & Switzerland,UK & Ireland,Asia - Other,Middle East,Eastern Europe"
